people_id,person_hash,party_id,state_id,party,role_id,role,name,first_name,middle_name,last_name,suffix,nickname,district,ftm_eid,votesmart_id,opensecrets_id,knowwho_pid,ballotpedia,bioguide_id,committee_sponsor,committee_id,state_federal
20119,47xhlnm7,1,52,D,1,Rep,Lauren Underwood,Lauren,A.,Underwood,,,HD-IL-14,44044644,177001,N00041569,601601,Lauren_Underwood,U000040,0,0,0
20120,nuddykio,2,52,R,1,Rep,Jeff Van Drew,Jeff,,Van Drew,,,HD-NJ-2,6389812,24685,N00042164,209970,Jeff_Van_Drew,V000133,0,0,3153
20121,jgbq6rbf,2,52,R,1,Rep,Michael Waltz,Michael,,Waltz,,,HD-FL-6,45399438,182261,N00042403,652214,Michael_Waltz,W000823,0,0,0
20295,r2b3zv8g,2,52,R,2,Sen,Josh Hawley,Joshua,David,Hawley,,Josh,SD-MO,16205449,169716,N00041620,572072,Josh_Hawley,H001089,0,0,0
20297,9aqi5rh3,2,52,R,2,Sen,Rick Scott,Richard,L.,Scott,,Rick,SD-FL,422306,124204,N00043290,289276,Rick_Scott,S001217,0,0,0
21386,nbwt47im,2,52,R,1,Rep,Greg Murphy,Gregory,Francis,Murphy,,Greg,HD-NC-3,166135,5975268,N00044027,558576,Gregory_Murphy,M001210,0,0,17875
21642,epwa383j,1,52,D,1,Rep,Kweisi Mfume,Kweisi,,Mfume,,,HD-MD-7,15479665,26892,N00001799,722075,Kweisi_Mfume,M000687,0,0,0
21647,u6uhwq63,2,52,R,1,Rep,Tom Tiffany,Tom,,Tiffany,,,HD-WI-7,48524679,51831,N00045307,310033,Tom_Tiffany,T000165,0,0,12301
21702,c8fd3zmw,1,52,D,2,Sen,Mark Kelly,Mark,,Kelly,,,SD-AZ,48160599,190594,N00044223,709398,Mark_Kelly,K000377,0,0,0
21922,z6b0865w,2,52,R,1,Rep,Barry Moore,Felix,Barry,Moore,,Barry,HD-AL-2,12997504,121792,N00041295,290770,Barry_Moore_(Alabama),M001212,0,0,12501
21923,0fh0a2gj,1,52,D,1,Rep,Sara Jacobs,Sara,J.,Jacobs,,,HD-CA-51,19388816,179414,N00042081,644085,Sara_Jacobs,J000305,0,0,0
